attraction,attraction_type,address,lat,lon,Description
Hollywood Sign Viewpoint at Lake Hollywood Park,Activity,"3160 Canyon Lake Dr, Los Angeles, CA 90068",34.126697,-118.326493,For those looking for the perfect photo with the famous Hollywood sign without having to hike to get it!
Griffith Park/Observatory ,Activity,"2800 E Observatory Rd, Los Angeles, CA 90027",34.118434,-118.300318,"Quintessential LA sight-seeing spot with free admission, planetarium shows, other science exhibits, and panoramic views of Los Angeles. Go during the week for less crowds and right before sunset for the best photo opportunities! Closed on Mondays."
Getty Villa,Activity,"17985 Coast Hwy, Pacific Palisades, CA 90272",34.045832,-118.564947,"Beautiful seaside villa that houses an extensive collection of Ancient Greek/Roman art. Free admission, but make sure to reserve a ticket ahead of time here. Closed on Tuesdays."
Getty Center ,Activity,"1200 Getty Center Dr, Los Angeles, CA 90049",34.077965,-118.474106,"Large collection of art, but worth the trip even if you’re not an art-lover because of the sprawling grounds/gardens, stunning architecture, and amazing views of LA. Free admission (besides parking). Closed on Mondays."
LACMA/La Brea Tar Pits,Activity,"5801 Wilshire Blvd, Los Angeles, CA 90036",34.063807,-118.355413,"Art museum with the famous lamppost installation outside and lots of food trucks across the street. Also located next to the La Brea Tar Pits – a kid-friendly science museum showcasing fossils found in the area where the grounds are free to walk, picnic, and more."
Melrose Trading Post,Activity,"7850 Melrose Ave, Los Angeles, CA 90046",34.083279,-118.36061,"Upscale flea market that happens every Sunday ($3 admission) full of local artists and artisans, food, and live music. (Pro tip: Parking can be difficult, so consider using Uber or Lyft to get there)"
Santa Monica Pier,Activity,"200 Santa Monica Pier A, Santa Monica, CA 90401",34.01012,-118.496219,Famous LA landmark – a must-see for first-time visitors to Los Angeles!
Universal Studios/City Walk,Activity,"100 Universal City Plaza, Universal City, CA 91608",34.138108,-118.353357,"One of our favorite places in LA! The amusement park has rides and shows for the whole family – our favorites are Water World, the Studio Tour, The Mummy, and the Wizarding World of Harry Potter. Lots of shops and restaurants at City Walk if you’d rather save some money and not visit the park itself. (Pro tip: Save money on parking by parking at North Hollywood train station and riding one stop to Universal City)"
Amoeba Music,Activity,"6400 Sunset Blvd, Los Angeles, CA 90028",34.097693,-118.329124,"Must-stop for music lovers! Giant record store in the heart of Hollywood with vinyl, CDs, DVDs, and more."
Runyon Canyon,Activity,"2000 N Fuller Ave, Los Angeles, CA 90046",34.110601,-118.350582,Popular hiking trails/dog park located right in the famous Hollywood Hills. Also popular for celebrity sightings!
TCL Chinese Theater/Hollywood Walk of Fame,Activity,"6925 Hollywood Blvd, Hollywood, CA 90028",34.102001,-118.341055,"Famous historical theater located in the heart of the Walk of Fame. See a movie here in IMAX, or just check out all the handprints left by Hollywood stars as you follow the Walk of Fame down Hollywood Blvd."
California Science Center,Activity,"700 Exposition Park Dr, Los Angeles, CA 90037",34.015821,-118.286119,A science and technology museum great for the whole family. Admission is free to all four of the museum's permanent exhibits. 
